name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
javascript-odev1,zeynepcavildak,,https://github.com/zeynepcavildak/javascript-odev1,2023-01-01,1,1,0,0,0,0,0,43,,"CSS,HTML,JavaScript",HTML,,,,
CursoJavascriptPlatzi,ediegodeorazio,,https://github.com/ediegodeorazio/CursoJavascriptPlatzi,2023-01-01,1,1,0,0,0,0,0,1,,"HTML,JavaScript",HTML,,,,
github-wrapper-javascript,Pratham2301,GitHub Wrapper - Stalk inside the Home for all Developers,https://github.com/Pratham2301/github-wrapper-javascript,2023-01-01,1,1,0,0,0,0,0,312,,"CSS,HTML,JavaScript",HTML,github-pages,,,
JavaScript-Tutorial,anasmorahhib,,https://github.com/anasmorahhib/JavaScript-Tutorial,2023-01-01,1,1,0,0,0,0,0,9,,"HTML,CSS",HTML,,,,
Formularios_JavaScript,JulietaSchegtel,,https://github.com/JulietaSchegtel/Formularios_JavaScript,2023-01-01,1,1,0,0,0,0,0,6258,,"CSS,JavaScript,EJS",JavaScript,,,,
JavaScriptPlayground,nOtelite-oss,,https://github.com/nOtelite-oss/JavaScriptPlayground,2023-01-01,1,1,0,0,0,0,0,16,,"JavaScript,CSS,HTML",JavaScript,,,,
JavaScript-practice,yashnaravade,,https://github.com/yashnaravade/JavaScript-practice,2023-01-01,1,2,1,0,0,0,0,4,,"JavaScript,TypeScript,HTML",HTML,,,,
Javascript-All-Projects-,mdsohelrana888,,https://github.com/mdsohelrana888/Javascript-All-Projects-,2023-01-01,1,1,0,0,0,0,0,1,,HTML,HTML,,,,
JavaScript-Tricks,Ctrliums,A set of tricks to increase the speed and quality of coding.,https://github.com/Ctrliums/JavaScript-Tricks,2023-01-01,2,0,1,0,0,0,0,12,,JavaScript,JavaScript,,,"javascript,js,tricks,js-trick,es6,es6-javascript",
JavaScript-30,devolagold,Javascript Tutorial 30,https://github.com/devolagold/JavaScript-30,2023-01-01,1,1,0,0,0,0,0,1760,,"HTML,JavaScript,CSS",JavaScript,,,,
Javascripts_Project_code,karan-maurya2,,https://github.com/karan-maurya2/Javascripts_Project_code,2023-01-01,1,1,0,0,0,0,0,688,,"HTML,JavaScript",JavaScript,,,,
JavaScript-Challenges,ShivamPali-2020,,https://github.com/ShivamPali-2020/JavaScript-Challenges,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
exercise-JavaScript-,FarnazLEGRAND,,https://github.com/FarnazLEGRAND/exercise-JavaScript-,2023-01-01,1,1,0,0,0,0,0,1456,,"HTML,JavaScript,CSS",HTML,,,,
Curso-JavaScript,Juan-Severiano,Um repositório para colocar os exercícios de JS formulados pelo professor Gustavo Guanabara,https://github.com/Juan-Severiano/Curso-JavaScript,2023-01-01,1,1,0,0,0,0,0,9,,HTML,HTML,,,,
